created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 07 04:07:19 +0000 2023;1721741092448874623;"Masyarakat Jawa timur dukung Ganjar Pranowo  Jatim Ganjar Pranowo Presiden Pilihanku 2024  Fuji Partai Socmed Senin Ange Scarlett Upnormal Lawan 9 Palestina Gen Z Eren Sarapan #Dior Innalillahi Menteri Hukum Kaskus London #TwinklingWatermelonEp13 https://t.co/SaA0MZvl5i";0;0;0;0;in;1661937679326654469;1721741092448874623;edwinricharrd;https://twitter.com/edwinricharrd/status/1721741092448874623
Tue Nov 07 04:07:19 +0000 2023;1721741091190579295;"Masyarakat Jawa timur dukung Ganjar Pranowo  Jatim Ganjar Pranowo Presiden Pilihanku 2024  Fuji Partai Socmed Senin Ange Scarlett Upnormal Lawan 9 Palestina Gen Z Eren Sarapan #Dior Innalillahi Menteri Hukum Kaskus London #TwinklingWatermelonEp13 https://t.co/CnAW5dxMOq";0;0;0;0;in;1661937679326654469;1721741091190579295;edwinricharrd;https://twitter.com/edwinricharrd/status/1721741091190579295
Tue Nov 07 04:07:18 +0000 2023;1721741089022054592;"Masyarakat Jawa timur dukung Ganjar Pranowo  Jatim Ganjar Pranowo Presiden Pilihanku 2024  Fuji Partai Socmed Senin Ange Scarlett Upnormal Lawan 9 Palestina Gen Z Eren Sarapan #Dior Innalillahi Menteri Hukum Kaskus London #TwinklingWatermelonEp13 https://t.co/6kXEEkojg7";0;0;0;0;in;1661937679326654469;1721741089022054592;edwinricharrd;https://twitter.com/edwinricharrd/status/1721741089022054592
Tue Nov 07 04:07:01 +0000 2023;1721741017786052867;"@PartaiSocmed @ganjarpranowo @susipudjiastuti ga bahaya tah";0;0;0;0;in;1535610759136559104;1721714244486623563;noobAIUEO;https://twitter.com/noobAIUEO/status/1721741017786052867
Tue Nov 07 04:06:43 +0000 2023;1721740940409532613;"Pak Ganjar Pranowo dan milenial adalah kombinasi yang akan membawa Indonesia berkembang @dindaastrida  Ganjar Presiden https://t.co/VB2IkvwQ5k";0;0;0;0;in;1681194660545347584;1721740940409532613;LastriSarasti;https://twitter.com/LastriSarasti/status/1721740940409532613
Tue Nov 07 04:07:09 +0000 2023;1721741050400936410;"@PartaiSocmed @ganjarpranowo @susipudjiastuti Udah lah susi tuh ga diajak apa2. cuma sowan doang";0;0;0;0;in;1523882834686922754;1721714244486623563;sushidicted;https://twitter.com/sushidicted/status/1721741050400936410
Tue Nov 07 04:07:08 +0000 2023;1721741047552995362;"Para Kiai, Ustad dan Cendikiawan dibidang agama lainnya nyatakan dukungan kepada paslon Ganjar Pranowo dan Mahfud MD yang dinilai sebagai pemimpin yang menyejukkan serta mampu memimpin Indonesia kearah yang lebih baik https://t.co/vGL6mPew90";4;4;20;16;in;1576445926721191937;1721741047552995362;intanmufti;https://twitter.com/intanmufti/status/1721741047552995362
Tue Nov 07 04:06:40 +0000 2023;1721740929927917626;"Ganjar pranowo mendorong peningkatan fasilitas dan sarana pendidikan untuk indonesia timur  #GanjarBantuUMKM https://t.co/PrFfNv7Oev";0;0;0;0;in;1401320216647192576;1721740929927917626;_cakalang_;https://twitter.com/_cakalang_/status/1721740929927917626
Tue Nov 07 04:06:31 +0000 2023;1721740892409897368;"Pak Ganjar Pranowo, sosok pemimpin yang memperhatikan pendidikan dan keterlibatan pemuda @augustheal  Ganjar Presiden https://t.co/hLSKZGBy0i";0;0;0;0;in;1684772802891800576;1721740892409897368;ZolaKirana;https://twitter.com/ZolaKirana/status/1721740892409897368
Tue Nov 07 04:06:27 +0000 2023;1721740875854950558;"Ungkapan Seno Kusumoarjo yang kecewa dengan Keputusan Jokowi, karena telah mengizinkan Gibran bergabung dengan KIM dipilpres mendatang.#GanjarPranowo #GanjarMahfud #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #SenoKusumoarjo #Apri0711 https://t.co/a1hAjcO1U8";0;0;1;1;in;985463052;1721740875854950558;huyen12608015;https://twitter.com/huyen12608015/status/1721740875854950558
Tue Nov 07 04:06:25 +0000 2023;1721740864446414923;"@TheLadyJoker @jokowi @ganjarpranowo @gibran_tweet Jokowi tebal muka,  doyan banget boong, DNA  penipu akhirnya nurun ke anak nya!!";0;0;0;0;in;1585564652821393408;1721564278308897104;DeniSupriyadi06;https://twitter.com/DeniSupriyadi06/status/1721740864446414923
Tue Nov 07 04:06:06 +0000 2023;1721740785484525899;"@Ghurem2 @ganjarpranowo  @mohmahfudmd 👆🤟";0;0;0;0;qme;1670679995621195776;1721724662714081404;CINTAINDONESIAd;https://twitter.com/CINTAINDONESIAd/status/1721740785484525899
Tue Nov 07 04:05:54 +0000 2023;1721740735358329008;"@FirmanSentosa22 @DokterTifa @mhrt72 @aniesbaswedan @prabowo @ganjarpranowo Semua sama aja ah. Anggota WEF semua itu sama. Ayo lah";0;1;0;0;in;616152567;1721316547736879455;dwihrw;https://twitter.com/dwihrw/status/1721740735358329008
Tue Nov 07 04:05:53 +0000 2023;1721740733701648544;"menghormati Survei GAMA Unggul Hasil Survei Membuktikan";0;0;0;1;in;2937087219;1721740733701648544;TimPranowo;https://twitter.com/TimPranowo/status/1721740733701648544
Tue Nov 07 04:05:50 +0000 2023;1721740720468582423;"Ganjar Pranowo menyebut, peningkatan kompetensi UMKM dapat menciptakan peluang akses pasar lokal dan internasional. #GanjarBantuUMKM https://t.co/JJ0wzwItz9";0;0;0;0;in;531793189;1721740720468582423;Sang_Nurani;https://twitter.com/Sang_Nurani/status/1721740720468582423
Tue Nov 07 04:05:49 +0000 2023;1721740714172944548;"@DrPullmanrogers @sudiyanto204574 @jokowi @officialMKRI @ganjarpranowo @mohmahfudmd @PDI_Perjuangan @manusiaberduri tenang... Ape lu kire manusie manusie indon itu pade pinter2???🤣🤣🤣 Inget tong kate2 ganjar ke najwa ---&gt  jika mereka2 itu dipulangkan (tka cina) apa kita2 mampu menggantikan? 🤣🤣🤣 Jd pemberian nama itu udh sesuai perkiraan bhw tk akan ad yg tau aplg protes 🤣";0;0;0;0;in;114150311;1715722928321679616;AndreKiehl;https://twitter.com/AndreKiehl/status/1721740714172944548
Tue Nov 07 04:05:49 +0000 2023;1721740714172883003;"@ganjarpranowo Cocok lah bapak  jadi presiden jawa..biarkan pulau2 lain lepas..";0;0;0;0;in;1590199849080672256;1721518453599981881;irfan19001;https://twitter.com/irfan19001/status/1721740714172883003
Tue Nov 07 04:05:43 +0000 2023;1721740688029827490;"@anggel292690 @akupadi5 @ganjarpranowo Saat rakyat menikmati gaduhnya putusan MK alias mahkamah keluarga, makanya  rakyat cerdas pilih yg pasti saja yaitu Ganjar - Mahfud  Bodoh saja rakyat pilih kepalsuan dan kebohongan.";0;0;0;0;in;1185889440071241728;1721628127309484048;TaryonoAno1;https://twitter.com/TaryonoAno1/status/1721740688029827490
Tue Nov 07 04:05:37 +0000 2023;1721740662704689406;"@PartaiSocmed @ganjarpranowo @susipudjiastuti Bu Susi terbuka dengan siapapun.";0;0;0;1;in;114129674;1721714244486623563;yud_kurnianto;https://twitter.com/yud_kurnianto/status/1721740662704689406
Tue Nov 07 04:05:36 +0000 2023;1721740661576310793;"@Sembroenoo @GunRomli @ganjarpranowo Cm cerita pewayangan, ga usah baper... 🤭";0;0;0;0;in;214359602;1721694876763578604;realjoprazz;https://twitter.com/realjoprazz/status/1721740661576310793
Tue Nov 07 04:05:32 +0000 2023;1721740643511460337;"@nongandah @ganjarpranowo Itu kebiasaan lama pk Ganjar Mbak. Awal² beliau menjabat gubernur Jateng periode pertama.. pernah nginep di rumah warga di kabupaten saya. ☺️👍";0;0;0;0;in;2367146096;1721729700228419936;antono_putra;https://twitter.com/antono_putra/status/1721740643511460337
Tue Nov 07 04:05:13 +0000 2023;1721740565602304052;"@TheLadyJoker @jokowi @ganjarpranowo @gibran_tweet ngomongin diri sendiri ya @jokowi sama anaknya tukang drama melebihi drakor bikin gaduh se-Indonesia bikin muak";0;0;0;0;in;1683417407371776001;1721564278308897104;aria_fitria;https://twitter.com/aria_fitria/status/1721740565602304052
Tue Nov 07 04:05:10 +0000 2023;1721740551962411405;"The real Ganjar Mahfud bersama Rakyat 😍bersama dukungan rakyat 😍  Bangga terharu sebarisan sama wong cilik @ganjarpranowo @mohmahfudmd";0;0;3;5;in;91185042;1721740551962411405;siticeriaselalu;https://twitter.com/siticeriaselalu/status/1721740551962411405
Tue Nov 07 04:05:03 +0000 2023;1721740523390796215;"@gerry_ryan21 @PartaiSocmed @ganjarpranowo @susipudjiastuti Yah jelas kesitu..";0;0;0;0;in;1552683054954848256;1721714244486623563;Firmannsyah__;https://twitter.com/Firmannsyah__/status/1721740523390796215
Tue Nov 07 04:05:00 +0000 2023;1721740510178796014;"Ganjar Pranowo mengungkapkan, para petani Indonesia membutuhkan perhatian dalam upaya mengembangkan lahan pertanian mereka. #GanjarBantuUMKM https://t.co/OCowx3SfzW";0;0;0;0;in;531793189;1721740510178796014;Sang_Nurani;https://twitter.com/Sang_Nurani/status/1721740510178796014
Tue Nov 07 04:04:56 +0000 2023;1721740493858742756;"Kembalikan Pulau Pasir Ke Pangkuan RI siapa pun Presiden 2024 @aniesbaswedan @prabowo @ganjarpranowo @cakimiNOW @mohmahfudmd @gibran_tweet #BetaIndonesiaBetaPulauPasir #MenolakLupa #nkrihargamati #capres2024 #CapresMestiPeduli #BersamaRakyat #genocide #UN https://t.co/nMzIrubPkm";0;0;0;1;in;1497407025650696194;1721740493858742756;HanserNalle;https://twitter.com/HanserNalle/status/1721740493858742756
Tue Nov 07 04:04:37 +0000 2023;1721740413223240086;"Elektabilitas Ganjar Pranowo Tertinggi. Survei GAMA Unggul. Hasil Survei Membuktikan. https://t.co/REbtuMdgID";0;0;0;0;in;1710145426983362560;1721740413223240086;karinaodiewodie;https://twitter.com/karinaodiewodie/status/1721740413223240086
Tue Nov 07 04:04:20 +0000 2023;1721740341722952183;"Ribuan santri Ponpes Ar-Rahman menyambut kedatangan Ganjar Pranowo dengan antusias. Mereka yang selama ini hanya melihat Ganjar di televisi langsung berebut untuk bersalaman dan berfoto dengannya.  #SahabatGanjar #GanjarPranowo #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/AVL6XECelr";0;0;8;28;in;1463720993176784901;1721740341722952183;Omnya_Gibran;https://twitter.com/Omnya_Gibran/status/1721740341722952183
Tue Nov 07 04:04:08 +0000 2023;1721740292163027117;"Ganjar Pranowo menyebutkan, kualitas infrastruktur dalam pemerataan pembangunan harus bisa terjaga dengan baik. #GanjarBantuUMKM https://t.co/hs8i5AQ7ya";0;0;0;0;in;531793189;1721740292163027117;Sang_Nurani;https://twitter.com/Sang_Nurani/status/1721740292163027117
Tue Nov 07 04:04:09 +0000 2023;1721740296109908223;"@SatyaputraSatya @ekakunjeri @ganjarpranowo Prabowo itu Ketum Partai. Kontrolnya cuma ada di koalisi. Sesama Ketum. Anies nggak usah dihitunglah. Kalau Ganjar kan dia petugas partai yg dominan di koalisinya. Ketum partainya bebas nyetir dia.";0;0;0;0;in;212556642;1721676054631522414;karman_mustamin;https://twitter.com/karman_mustamin/status/1721740296109908223
Tue Nov 07 04:04:02 +0000 2023;1721740265810169902;"UPAYA MEMBANGUN DINASTI #GanjarMahfudCanvasingDay #NongkrongBersamaRakyat #ganjarmahfud2024  #ganjarpranowo #ganjar #ganjarpresiden #ganjaruntuksemua #ganjarkeren #paktelur #sahabatganjar https://t.co/JhQHlzgiIC";0;0;0;1;in;1626855706073903105;1721740265810169902;galuh_kristina;https://twitter.com/galuh_kristina/status/1721740265810169902
Tue Nov 07 04:03:48 +0000 2023;1721740206104318191;"@AntoniusCDN @ganjarpranowo @mohmahfudmd Ganjar Mahfud tetap pilihan yang terbaik";0;0;0;0;in;1262157433780137984;1721688888518029686;javupitbull;https://twitter.com/javupitbull/status/1721740206104318191
Tue Nov 07 04:03:43 +0000 2023;1721740186877603968;"@TeddGus @gibran_tweet @ganjarpranowo di tunggu analisa lanjutnya mas teddd";0;0;0;0;in;990505214842044416;1719320952050532682;1933389125Lumie;https://twitter.com/1933389125Lumie/status/1721740186877603968
Tue Nov 07 04:03:41 +0000 2023;1721740176693789068;"Ganjar pranowo isi pidato di depan ribuan masyarakat di GOR Jatidiri kota semarang  #GanjarBantuUMKM https://t.co/ipWwQtoomK";0;0;0;0;in;1401320216647192576;1721740176693789068;_cakalang_;https://twitter.com/_cakalang_/status/1721740176693789068
Tue Nov 07 04:03:34 +0000 2023;1721740146637525012;"@genx36545403 @gibran_tweet @ganjarpranowo @mohmahfudmd @jokowi Wkwkwkwk sekarang langsung nyerang gini bos kubu samping perasaan dulu di bela deh";0;0;0;0;in;1364365981;1721534849021022220;yulipradis;https://twitter.com/yulipradis/status/1721740146637525012
Tue Nov 07 04:03:29 +0000 2023;1721740125921837421;"Pak Ganjar Pranowo sebagai calon presiden memberi harapan baru dalam pemanfaatan sumber daya manusia Indonesia @awsomjmhc  Ganjar Presiden https://t.co/nP35UQL3uX";0;0;0;0;in;1686656446535282688;1721740125921837421;BagasTubagus809;https://twitter.com/BagasTubagus809/status/1721740125921837421
Tue Nov 07 04:03:17 +0000 2023;1721740078463304100;"Ganjar pranowo menyoroti pentingnya pemerataan pembangunan dengan airfarmasi  #GanjarBantuUMKM https://t.co/FbJ7rmccN1";0;0;0;0;in;1401320216647192576;1721740078463304100;_cakalang_;https://twitter.com/_cakalang_/status/1721740078463304100
Tue Nov 07 04:03:10 +0000 2023;1721740048679448683;"Warga Transmigran Sumatera Selatan sangat antusias menyambut kedatangan Ganjar Pranowo di tempat mereka. #GanjarBantuUMKM https://t.co/CRrUKhAetF";0;0;0;0;in;531793189;1721740048679448683;Sang_Nurani;https://twitter.com/Sang_Nurani/status/1721740048679448683
Tue Nov 07 04:03:08 +0000 2023;1721740039070339581;"@TeddGus @gibran_tweet @ganjarpranowo kok bisa jadi narsum bang";0;0;0;0;in;339464954;1719320952050532682;Tawnykitteh;https://twitter.com/Tawnykitteh/status/1721740039070339581
Tue Nov 07 04:03:05 +0000 2023;1721740025833136500;"@genx36545403 @gibran_tweet @ganjarpranowo @mohmahfudmd @jokowi di tunggu update berita selanjutnya";0;0;0;0;in;990505214842044416;1721534849021022220;1933389125Lumie;https://twitter.com/1933389125Lumie/status/1721740025833136500
Tue Nov 07 04:02:49 +0000 2023;1721739959340798377;"@DuduAku16 @TeddGus @ganjarpranowo Waduh face to face, ngeri ahh. Mending pikiran partaimu ted.";0;0;0;0;in;217651975;1721442706067734716;Amotsky;https://twitter.com/Amotsky/status/1721739959340798377
